Company,Model,Year,Reviewer,Date,Title,Rating,Review
acura,ilx,2013,mahowald, 08/12/2012,Getting 43 Mpg on daily commute,pos,"I love this car.
Gas mileage, suspension, and stereo are great.
Bluetooth integration and Pandora integration work perfectly. Suspension and noise cancellation work amazingly well.
Although it looks small, it has plenty of room and has always been big enough. 
Gas mileage has been from 42 to 45 without really trying."
acura,ilx,2013,VIP, 07/26/2016,New to me ILX,pos,"I purchased my 2013 ILX from the dealer used with 30k miles in 2016. So far so good. I had a Honda before and loved it so figured my next step would be an Acura. First the positives: Car rides well, love the GPS, blue tooth connectivity, and voice control. For a 4 cylinder vehicle it accelerates quite quickly and is very good on gas. Also the car is spacious, it comfortably fit me plus 3 other adults on a short road trip. Now the not so good: storage is extremely limited! the car doesn't even have a place to put spare change, I literally dump everything into the center counsel. Also the USB cord is awkwardly placed, when I first test drove the car I thought it was damaged (if you've seen it you know what I mean). Lastly, I got the tech package so I have leather seats but when I first started looking I was shocked to see that the base model comes standard with cloth seats, I've never seen a luxury car with cloth seats.
"
acura,ilx,2013,bybchucky, 09/14/2013,Excellet Commuter Car,pos,"I recently purchased a 2013 ILX with the Tech pkg, and I am very pleased with it. I had a 2008 Acura TL prior to purchasing this car, and I thought I would miss the V6 acceleration, but I honestly don't. A lot of the reviews say the 150 hp is underpowered, but I find the car to be adequate. In fact, it picks up quite nicely on the highway and I don't have trouble passing cars. The interior is nice, well built, and feels a lot wider than what the outside appearance would make you believe. The rear leg room is also excellent considering this is a compact car. As stated above, this is an excellent commuter car."
acura,ilx,2013,bayareamom, 01/26/2015,Peppy Hybrid that Turns Heads,pos,"We bought our ILX used and have been incredibly pleased with it thus far.  As a former Prius owner, I feel much cooler driving this sporty Acura, although I do miss the 50+ mpg of the Prius.  It's fun to drive, handles well, stops on a dime, and has all of the modern features you'd expect from an Acura.  I primarily drive around town (about 90% of the time) with lots of stopping and am averaging about 37-38 mpg.  I love the simplicity of the interior, which is easy to use and not as bright or busy as some of the other models we looked at.  I hope this awesome car continues to fly under the radar so I'll continue to be one of the only ones on the road driving it!  "
acura,ilx,2013,Kerry Olson, 03/26/2016,2013 Acura ILX Hybrid w/ Tech Package,pos,"In April of 2015 we were in need of another car. Initially I looked at a BMW 335 and a Infintity G37 coupe, both of which I loved being a man. However I knew my wife wanted a good gas mileage that also had navigation, a CD player, heated seats, etc. I ended up choosing the ILX as it was below the book value at the time, was fully loaded, and though a hybrid it was sporty looking compared to other hybrids on the market. I also liked the option of shutting off the hybrid mode, which gives the car more umph when getting into traffic in the DFW area. On average with city and highway driving we average 39.3 MPG with the car not in hybrid mode. We have kept up with oil changes, etc and I don't know if there is a correlation or not but the car does get better mpg within the first 20% of a new oil change. The front seats are comfortable especially considering that the basis for this car is the Honda Civic. The only flaws I see are limited storage, and no leg room for an adult in the back seats. However the interior dash layout is great, the hands free is one of the best I have used, and though it takes premium gas I have never paid more than $24.00 to fill it and my wife can drive 4-6 weeks before filling. It also looks like a higher dollar car. We will always be an Acura fan due to this car.
"
acura,ilx,2013,boudouris_3, 06/19/2012,"Surely NOT just a ""glorified Civic""",pos,"Just upgraded from my 5-spd Saab 9-3 sedan to a brand new Acura ilx w/premium package and the 2.4L 6-spd engine.
The premium package comes with nearly everything that you could ask for minus navigation.

Very nice engine note that gives the car some personality without sounding like a cheap tuner.
The only knock I could say about the ilx is the interior space which is expected to be small due to the price point and market that Acura intends to target.

If you're in your 20s or early 30s and are looking for something fun to drive without sacrificing the luxury amenities, look no further than the ilx.

Oh and by the way, I'm getting 35-40 highway mpg."
acura,ilx,2013,geiim, 01/29/2013,An Excellent Car!,pos,"I have had my ILX now for over a month and 1,500 miles. It is an excellent car. The complaints about the 2.0L engine being slow are not accurate. I find it to be very peppy and responsive. Plus I drive 64 miles back and forth from work 5 days a week and I have never gotten less than 30 MPG, with an average of 29 MPG city/hwy driving overall. The interior is of excellent quality and the ride is smooth and quiet. The electronics are excellent and the sound system is very good, I use the XM radio all the time and it never drops out. I'm 6 ft tall, 250 lbs and I fit very comfortably in the car. I've even ridden in the back seat and that was comfortable. It looks great and rides great! "
acura,ilx,2013,Brittany, 05/19/2019,Owned for 6 yeasr,pos,"Have not had trouble with maintenance in over 6 years.  I've only had the oil and tires changed. It has never broke down on me. I highly recommend it!. I'm currently at 94,000 miles and get around 32-36mpg total. Full gas tank holds around 11 gallons. I'm still happy with my purchase with no regrets. I got the 2013 model and purchased it pre-owned that same year in May 2013 with 3000 miles on it.
"
acura,ilx,2013,Banjo, 10/25/2016,Pleasantly Surprised!,pos,"My previous car was a leased 2015 Civic EX-L, but due to a job change I needed to get out of my lease mileage restrictions. I took a look at buying out my Civic, or purchasing another new Honda, but both of those options were thousands of $s more than a pre-owned ILX still under warranty. I am a car nut so I am quite familiar with the ILX and its relation to the Civic platform. The ILX fit my needs perfectly and solved most of the issues I had with my Civic (garbage infotainment system, NVH, pokey acceleration). The ILX is great for my longer highway commute, and the tech package is a must-have for the ELS audio. I don't really use the nav system but it works well the few times I played with it. Would like a bird's eye view option though. The only feature I miss from my Civic is the LaneWatch camera, but turning my head to check my blindspot is very easy and I feel the visibility is slightly better than on my Civic. Car is no rocket, but it is a willing partner when you punch it. No issues passing or getting up to speed at all. MPG is obviously less than my Civic, but I am still getting around 29-30 combined. Worth the MPG trade-off for the comfort level alone. Definitely could use a couple more storage cubbies and maybe another USB outlet, but I'll survive ha. Passengers report he backseat is roomy enough and comfy. I cant imagine why anyone would buy a new Kia Rio or a base Honda Fit when they can get a bulletproof-reliable, well-styled, feature-packed luxury-ish ILX for the same price.
"
acura,ilx,2013,hleong, 07/27/2012,Driving this car to work everyday....,pos,"This is the second month I am driving this car to work, everyday for 70 miles. 

Certainly don't feel like driving a Civic. Indeed, I owned a 2 doors Accord for 9 years and ILX is way more luxury than Accord, hence I don't know why people said it is just an upscale Civic?! Drive before you judge.... 

Compare to Lexus CT200h and CT200h is not even close to ILX, in luxury and design. ILX designers/engineers are really serious in doing the job and they do it very well. "
