Company,Model,Year,Reviewer,Date,Title,Rating,Review
acura,mdx,2017,kaushal prajapati, 01/31/2017,Great family vehicle,pos,"It's nice design exterior and interior, smooth ride. 9 speed transmission shifts great in Normal driving mode . Great fuel economy for size. Tighter third raw
"
acura,mdx,2017,Beau Davis, 07/25/2017,New MDX,pos,"I traded in a 2014 MDX because I got a great deal. The improvements in ride, navigation and interior comfort made it toatally worthwile. I really love this car. I just wish the Avdvance Pkg came with a 2nd row bench seat option, because I would have gone with that.
"
acura,mdx,2017,KDH, 10/05/2017,Roadside Assistance from Hell,neg,"Had a dead battery. Acura Roadside Assistance sent Royal Towing. The guy didn't know how to open hood. Couldn't jump. Second row operator couldn't jump either. He couldn't tow because he needed special tool to put car in neutral. Push button transmission doesn't work without battery power. Third tow truck driver said he wasn't going to waste his time unless cash was paid. Acura Roadside Assistance is suppose to be free? Fourth Towing county, Advantage finally got it. They were a pleasure to deal with unlike Acura Roadside Assistance personal.
"
acura,mdx,2017,Sandra Turman, 03/05/2019,Acura’s are wonderful cars. Very good value .,pos,"This is my sixth or seventh Acura.  I have never had any problem at all.  I thought I did once but I found out I was causing the problem by having two keys in car that was confusing the signals.
"
acura,mdx,2017,Michael DeWaal, 04/16/2019,MDX beats Audi Q5/Q7 and Lexus RX series SUVs....,pos,"See this for additional support - only the MDX wheel clutches engaged when needed vs. the Audi and Lexus competitors: https://youtu.be/k1i9zuVrWnY    .  This video was my clincher.
The 2017 MDX has the lowest TCO and repairs on the 5 year average, with the best resale/residuals vs. its competitors.  This is the most capable SUV of the 3 in this price range.  Higher priced brands tend towards much higher maintenance and lower reliabilities.  I don't think they are worth their prices given that reliability metric.
"
acura,mdx,2017,Paul C, 07/03/2019,Great SUV for the money,pos,"Recently purchased the AWD MDX with Technology (2 yrs old and 3700 miles- what a find) and could not be more satisfied. The ONLY this I would improve on is the auto shifting from 1st to 2nd gear- not as smooth as it could be. The only change I would like (for me) is making the third room seating optional- would like the extra storage.  My previous vehicle was a 2015 lexus 350 which I loved. Therefore I was somewhat hesitant to change to an Acura - what I found was the Acura is more comfortable, quicker, and much more pleasurable to drive. I must say I am surprised - but thrilled!
"
acura,mdx,2017,My “go-cart” features, 12/02/2019,The BEST SUV Go-Cart money can buy,pos,"I love my MDX except for the transmission and the “feature” that turns off the engine upon stopping. The salesman told me that feature can be turned off in the system settings but it can not be. It can be turned off every time the vehicle is started but it’s extremely annoying do that. If that’s a feature then a tooth ache is enjoyable. I’m not sure what Honda is doing with this 9-speed transmission but it’s horrible. When I was a kid we used to make go-carts and have pulleys and belts with bailing wire holding everything together. The go-card would jump and jerk to get up to speed. And often slip and be unpredictable. That’s what this 9-speed transmission reminds me of except it’s in a $55K vehicle. Ridiculous!
"
acura,mdx,2017,I Love my Acura MDX, 03/12/2020,I love my MDX,pos,"I am super happy with my Acura MDX!  It runs like a dream and I take a lot of road trips.  It’s very comfortable, more roomy than the Lexus SUV and beautiful! 
"
acura,mdx,2017,great car with one clay foot, 12/19/2020,Great car with one glaring clay foot,pos,"Car is excellent in all respects looks, power train, suspension, interior and space utilization as well as gas mileage and adequate power. The one glaring fault is the Voice recognition software ( not the navigation which works fine) . Extremely hard to get voice recognition to determine what you are saying; forcing me to use my cellphone to accomplish destination instructions. Hopefully the new MDX with carplay and android will permit cellphone use through the nav suatem to provide adequate voice recognition..
"
acura,mdx,2018,Chris B, 06/01/2018,"2018 MDX Tech..1st Acura, Has some misteps",neu,"Update: After 10,000 miles I traded in my MDX. I had to many issues with Air conditioning Compressor/ fans etc and it being in the shop for multiple days at a time For my liking. I liked the vehicle overall but reliability is questionable.


Reading some other reviews I can concur with, the break clicking noise when backing up, The strange distorting haze on the passenger side while looking from the driver side of windshield and vice versa. My biggest issue is the acceleration off the line. When a light turns green and you ease on the gas, it almost does nothing, and then Jerks and accelerates hard. This is enough not to want to drive especially in areas with a lot of stop and go or lights. The dash is dated but i believe it will change to what the 2019 RDX has in 2020. Make sure to get a version with SH-AWD it makes a large difference in the driving dynamics. I still think its funny how the moon roof shade is completely manual like a base model civic from the 2000's. At this price point all things should be automated. Although i'm glad for Apple Car play, it defeats the purpose when you have to use the control knob to access the functions, seems to be one of those, well here ya go type of updates.
"
acura,mdx,2018,SS, 02/15/2018,Blurry windshield,neu,"There is a problem with the passenger front windshield. It's blurry along the edge and hard to look out especially to check for on coming traffic from the right side. Brought it in to the dealership, the district manager checked it, and noted all the other 2018's have the same issue, but said nothing could be done. It is a hazard to drive and see properly out that window. There service department took photos and agreed there is a problem. Now I am stuck driving this car for the next 3 years knowing that an accident could happen due to the defect that they won't correct.
"
acura,mdx,2018,Leo, 02/17/2018,Base SHAWD Bang for the Buck!,pos,"After researching, haggling, test driving, and repeating this process, we ended up with the 2018 MdX Base with SH AWD.  So here's the deal, after test driving all the trim levels, I decided on the base model. Reason being, it comes with all the options that you will ever need. The tech package is  advantageous if you REALLY need the blind spot monitor. However this car is very easy to drive/switch lanes and is proportioned very well. And keep in mind, tech package adds a pretty penny to the purchase price.  I had the new body X5 but was paying an arm and leg in lease payments so immediately got rid of it, meanwhile the MDX has more options and is half the price.  But going back to the car, it drives well, size is relatively small thus making it easy to drive for smaller statured people, has great utility, and actually fun to drive so long as you have the SHAWD.  The only drawback is the infotainment system. However, with the 2018's having apple carplay, it makes it bearable.  The shifter is annoying in the beginning, but easy to get used to. The Infiniti QX60 is probably the only viable competitor but to get standard options with AWD that you get in the mdx , it will drive up the price significantly. Added bonus is you get a fleet of standard safety and driver aid options with the base. If youre in the market, just go with the base model with SHAWD. Youre welcome!
"
acura,mdx,2018,Thong, 08/08/2018,Very disapointed,neg,"I do not recommend this suv to anybody, the people at acura now a day their favorite word is normal, they don’t want to take responsibility on their car.....Bs ACURA .i bought this car brand new and i drive speed between 55 to 60 mph and feel the vibration on the steering wheel and took the car tothe dealer couple time to fix the problem but it’s still there. They couldn’t fix the problem, so finally they Told me that it’ normal for the mdx that the steering vibration at that speed, bs. No new car should never virbration at that speed at all.>......
"
acura,mdx,2018,David S., 01/04/2018,Updated Review After 2 years of Ownership,pos,"After owning a few of these MDXs, this one is the worst! My wife loves this one but I really hate all the different buttons you have to push or slide to engage everything. I hate the way the locks unlock when you walk by the car if you have your key fob on you and it does NOT lock itself back! It should only unlock or lock when I want it too!! Lane assist is annoying because you have to keep moving the wheel or it times our VERY fast, it should just stay set! Acura Navi & voice has always sucked and it still does, Acura refuses to listen to their customers & switch to Garmin. Still needs a panoramic sun roof and heads up. The front seats do not provide enough comfort under the thigh area.  This one did not come standard with all wheel drive and I really miss it but it is not worth paying the extra money they are trying to gouge you for now. Acura needs to look at how much better the rims on other MFRs look. Even the so called Acura premium wheels they up-charge for do not look that great & you should not have to pay extra to have nice wheels anyway, just put descent wheels to begin with & give us a choice of silver, black, etc. It was still the best bang for the buck and it has great utilitarian value with great layout, just wanted to point out to Acura what I want fixed or changed for the next one. If Acura would start listening to their customers and front line salesmen, they could improve in so many areas and increase sales. Our 1993 Acura Legend LS Coupe is still funner, more enjoyable, user friendly, sporty, stylish, and more comfortable than most of what they offer today and Acura really needs to find their way back. It took Acura far to long to fix the RDX. The RLX is still a dog. They ruined the TSX (we owned two) with the ugly cheap looking ILX. They did not leave any heritage in the NSX at all. Why all the no name letter meaningless prefixes?? Acura does not act on feed back and the point is proven with the bird beak error!!
"
